speaker_key,true,pred,episode
2107006::ep008::S3,negative,mixed,2107006::ep008
2107006::ep009::S0,negative,negative,2107006::ep009
2107006::ep009::S1,negative,mixed,2107006::ep009
2107006::ep009::S2,negative,mixed,2107006::ep009
2107006::ep009::S3,mixed,mixed,2107006::ep009
2107006::ep010::S0,negative,negative,2107006::ep010
2107006::ep010::S1,negative,negative,2107006::ep010
2107006::ep010::S2,negative,negative,2107006::ep010
2107006::ep010::S3,negative,negative,2107006::ep010
2107006::ep011::S0,negative,negative,2107006::ep011
2107006::ep011::S1,negative,negative,2107006::ep011
2107006::ep011::S2,positive,negative,2107006::ep011
2107006::ep011::S3,negative,negative,2107006::ep011
2107006::ep012::S0,negative,negative,2107006::ep012
2107006::ep012::S1,negative,negative,2107006::ep012
2107006::ep012::S2,negative,negative,2107006::ep012
2107006::ep012::S3,negative,mixed,2107006::ep012
2107006::ep013::S0,negative,negative,2107006::ep013
2107006::ep013::S1,negative,negative,2107006::ep013
2107006::ep013::S2,negative,negative,2107006::ep013
2107006::ep013::S3,negative,negative,2107006::ep013
2107006::ep014::S0,negative,negative,2107006::ep014
2107006::ep014::S1,negative,negative,2107006::ep014
2107006::ep014::S2,negative,negative,2107006::ep014
2107006::ep014::S3,negative,negative,2107006::ep014
2107009::ep001::S0,negative,neutral,2107009::ep001
2107009::ep001::S1,mixed,negative,2107009::ep001
2107009::ep001::S2,negative,mixed,2107009::ep001
2107009::ep002::S0,neutral,neutral,2107009::ep002
2107009::ep002::S1,negative,negative,2107009::ep002
2107009::ep002::S2,negative,negative,2107009::ep002
2107009::ep003::S0,negative,negative,2107009::ep003
2107009::ep003::S1,positive,neutral,2107009::ep003
2107009::ep003::S2,negative,negative,2107009::ep003
2107009::ep004::S0,negative,negative,2107009::ep004
2107009::ep004::S1,negative,negative,2107009::ep004
2107009::ep004::S2,negative,negative,2107009::ep004
2107009::ep005::S0,neutral,neutral,2107009::ep005
2107009::ep005::S1,negative,mixed,2107009::ep005
2107009::ep005::S2,negative,negative,2107009::ep005
2107010::ep001::S0,negative,mixed,2107010::ep001
2107010::ep001::S1,negative,negative,2107010::ep001
2107010::ep002::S0,negative,neutral,2107010::ep002
2107010::ep002::S1,negative,mixed,2107010::ep002
2107010::ep002::S2,negative,mixed,2107010::ep002
2107010::ep003::S0,negative,negative,2107010::ep003
2107010::ep003::S1,negative,negative,2107010::ep003
2107010::ep003::S2,negative,negative,2107010::ep003
2107010::ep004::S0,neutral,negative,2107010::ep004
2107010::ep004::S1,negative,mixed,2107010::ep004
2107010::ep004::S2,negative,negative,2107010::ep004
2107015::ep001::S0,negative,neutral,2107015::ep001
2107015::ep001::S1,negative,negative,2107015::ep001
2107015::ep001::S2,negative,negative,2107015::ep001
2107015::ep001::S3,mixed,negative,2107015::ep001
2107015::ep002::S0,neutral,mixed,2107015::ep002
2107015::ep002::S1,neutral,neutral,2107015::ep002
2107015::ep003::S0,negative,negative,2107015::ep003
2107015::ep003::S1,negative,negative,2107015::ep003
2107015::ep003::S2,negative,negative,2107015::ep003
2107015::ep004::S0,negative,neutral,2107015::ep004
2107015::ep004::S1,negative,negative,2107015::ep004
2107015::ep004::S2,negative,mixed,2107015::ep004
2107015::ep005::S0,negative,negative,2107015::ep005
2107015::ep005::S1,negative,negative,2107015::ep005
2107015::ep006::S0,negative,neutral,2107015::ep006
2107015::ep006::S1,negative,mixed,2107015::ep006
2107015::ep006::S2,positive,positive,2107015::ep006
2107015::ep007::S0,neutral,neutral,2107015::ep007
2107015::ep007::S1,negative,negative,2107015::ep007
2107015::ep007::S2,negative,negative,2107015::ep007
2107015::ep008::S0,negative,neutral,2107015::ep008
2107015::ep008::S1,negative,mixed,2107015::ep008
2107015::ep008::S2,positive,mixed,2107015::ep008
